feature,importance
bmi,0.27687612233220066
s5,0.21903133683790296
bp,0.10506724110520341
s4,0.08163703593282164
s6,0.07982461701754791
s3,0.06684846520689021
s1,0.05688736201667446
s2,0.05587433432089809
age,0.04733615398490642
sex,0.010617331244954254
